ÐòºÅ,1,2,3,4,5,6,7,8,9,10
X/cm,0,1,3,5,8,14,18,21,27,31
"U1(mv)(Is+,Im+)",-3.36,-3.3,-3.3,-3.27,-3.22,-2.87,-1.97,-1.75,-2.96,-3.14
"U2(mv)(Is+,Im-)",3.56,3.53,3.55,3.57,3.53,3.2,2.33,2.13,3.35,3.58
"U3(mv)(Is-,Im-)",3.72,3.75,3.77,3.8,3.88,4.24,5.15,5.37,4.18,3.98
"U4(mv)(Is-,Im+)",-3.52,-3.53,-3.54,-3.57,-3.6,-3.9,-4.82,-5,-3.78,-3.55
"Uh(mv)(Is-,Im+)",,,,,,,,,,
Ba,,,,,,,,,,
"U1(mv)(Is+,Im+)",-3.34,-2.61,-2.16,-1.72,-2.09,-3.05,-3.2,-3.22,-3.25,-3.25
"U2(mv)(Is+,Im-)",3.54,2.88,2.43,2.03,2.44,3.39,3.55,3.61,3.65,3.66
"U3(mv)(Is-,Im-)",3.73,4.35,4.85,5.29,4.96,4,3.86,3.83,3.82,3.82
"U4(mv)(Is-,Im+)",-3.43,-4.13,-4.57,-5.01,-4.67,-3.67,-3.53,-3.47,-3.43,-3.44
"Uh(mv)(Is-,Im+)",,,,,,,,,,
Bb,,,,,,,,,,
"U1(mv)(Is+,Im+)",-2.95,-2.19,-1.76,-1.31,-1.6,-2.25,-1.52,-1.32,-2.56,-2.78
"U2(mv)(Is+,Im-)",3.25,2.58,2.15,1.7,2.05,2.7,2,1.82,3.08,3.31
"U3(mv)(Is-,Im-)",3.5,4.18,4.68,5.14,4.85,4.25,5.01,5.21,3.98,3.77
"U4(mv)(Is-,Im+)",-3.1,-3.77,-4.2,-4.75,-4.34,-3.72,-4.43,-4.61,-3.34,-3.1
"Uh(mv)(Is-,Im+)",,,,,,,,,,
Ba+b,,,,,,,,,,
Ba+Bb,,,,,,,,,,
